      5756 -0.000203  -7.4e-05   -0.8005    0.6373   74.0668
      5651 -0.000203  -7.4e-05      -0.8    0.6403    74.065
      6306 -0.000203  -7.4e-05   -0.7984    0.6468   74.0753
      4126 -0.000203  -7.4e-05   -0.7953    0.6439   74.0773
      6032 -0.000203  -7.3e-05   -0.8056    0.6341   74.0629
      6113 -0.000203  -7.3e-05   -0.8047    0.6377   74.0741
      5804 -0.000203  -7.3e-05   -0.8016    0.6399    74.067
      5964 -0.000202  -8.6e-05   -0.8132    0.5809   73.9571
      5762 -0.000202  -8.6e-05   -0.8074    0.5923   74.0044
      4027 -0.000202  -8.5e-05   -0.8083     0.591   73.9861
      5960 -0.000202  -8.4e-05    -0.816    0.5864   73.9924
      4916 -0.000202  -8.4e-05   -0.8137     0.592   73.9974
      5910 -0.000202  -8.3e-05   -0.8087    0.5895   73.9755
      5615 -0.000202  -7.8e-05   -0.8021    0.6381   74.0635
      1713 -0.000202  -7.7e-05   -0.8187    0.6463   74.0639
      5650 -0.000202  -7.7e-05   -0.8066     0.638    74.062
      5380 -0.000202  -7.7e-05   -0.8061    0.6423   74.0754
      5766 -0.000202  -7.7e-05   -0.8037    0.6429   74.0775
      6002 -0.000202  -7.7e-05   -0.8028    0.6329   74.0664
      1143 -0.000202  -7.6e-05     -0.81    0.6358   74.0642
      6145 -0.000202  -7.6e-05   -0.8088    0.6395   74.0599
      5648 -0.000202  -7.6e-05   -0.8079    0.6367   74.0657
      5790 -0.000202  -7.6e-05   -0.8052    0.6351    74.048
      5862 -0.000202  -7.6e-05   -0.7943    0.6488   74.0671
      5802 -0.000202  -7.5e-05   -0.8106    0.6413   74.0594
      3972 -0.000202  -7.5e-05     -0.81    0.6375   74.0715
      6021 -0.000202  -7.5e-05    -0.806    0.6417   74.0581
      4083 -0.000202  -7.4e-05    -0.815    0.6362   74.0703
      6030 -0.000202  -7.4e-05   -0.8015    0.6435   74.0734
      1944 -0.000202  -7.4e-05    -0.772     0.637   74.0522
      6038 -0.000202  -7.3e-05   -0.8042     0.639   74.0717
      6267 -0.000202  -7.3e-05   -0.8013    0.6462   74.0446
      3019 -0.000201  -7.5e-05   -0.7711    0.6464   74.0967
       906   -0.0002    -7e-05   -0.8062    0.6402   74.0931
      1991 -0.000195  -7.8e-05   -0.8085    0.6421   74.0705
